sentence,intent
you are gorgeous,smalltalk_agent_beautiful
you are handsome,smalltalk_agent_beautiful
you are looking awesome,smalltalk_agent_beautiful
you look amazing today,smalltalk_agent_beautiful
you are looking beautiful today,smalltalk_agent_beautiful
you are looking great,smalltalk_agent_beautiful
you are looking pretty,smalltalk_agent_beautiful
you are looking so beautiful,smalltalk_agent_beautiful
you are looking so good,smalltalk_agent_beautiful
you are pretty,smalltalk_agent_beautiful
you are really beautiful,smalltalk_agent_beautiful
you are really cute,smalltalk_agent_beautiful
you are really pretty,smalltalk_agent_beautiful
you are so attractive,smalltalk_agent_beautiful
you are so beautiful today,smalltalk_agent_beautiful
you are so cute,smalltalk_agent_beautiful
you are so gorgeous,smalltalk_agent_beautiful
you are so handsome,smalltalk_agent_beautiful
you are so pretty,smalltalk_agent_beautiful
you are very attractive,smalltalk_agent_beautiful
you are very beautiful,smalltalk_agent_beautiful
you are very cute,smalltalk_agent_beautiful
you are very pretty,smalltalk_agent_beautiful
you look awesome,smalltalk_agent_beautiful
you look cool,smalltalk_agent_beautiful
you look fantastic,smalltalk_agent_beautiful
you look gorgeous,smalltalk_agent_beautiful
you look great today,smalltalk_agent_beautiful
you look perfect,smalltalk_agent_beautiful
you look pretty good,smalltalk_agent_beautiful
you look so beautiful,smalltalk_agent_beautiful
you look so beautiful today,smalltalk_agent_beautiful
you look very pretty,smalltalk_agent_beautiful
you look wonderful,smalltalk_agent_beautiful
I like the way you look,smalltalk_agent_beautiful
you look wonderful today,smalltalk_agent_beautiful
you are cutie,smalltalk_agent_beautiful
you're looking good,smalltalk_agent_beautiful
you're pretty,smalltalk_agent_beautiful
your birth date,smalltalk_agent_birth_date
when is your birthday,smalltalk_agent_birth_date
when do you celebrate your birthday,smalltalk_agent_birth_date
when do you have birthday,smalltalk_agent_birth_date
date of your birthday,smalltalk_agent_birth_date
when were you born,smalltalk_agent_birth_date
what's your birthday,smalltalk_agent_birth_date
you are boring,smalltalk_agent_boring
you're so boring,smalltalk_agent_boring
how boring you are,smalltalk_agent_boring
you're really boring,smalltalk_agent_boring
you're incredibly boring,smalltalk_agent_boring
you are boring me,smalltalk_agent_boring
you are very boring,smalltalk_agent_boring
who is your boss,smalltalk_agent_boss
who do you think is your boss,smalltalk_agent_boss
I should be your boss,smalltalk_agent_boss
who is your master,smalltalk_agent_boss
who is your owner,smalltalk_agent_boss
who is the boss,smalltalk_agent_boss
who do you work for,smalltalk_agent_boss
are you busy,smalltalk_agent_busy
do you have a lot of things to do,smalltalk_agent_busy
have you got much to do,smalltalk_agent_busy
are you very busy,smalltalk_agent_busy
are you very busy right now,smalltalk_agent_busy
are you so busy,smalltalk_agent_busy
are you working,smalltalk_agent_busy
how busy you are,smalltalk_agent_busy
are you still working on it,smalltalk_agent_busy
you're very busy,smalltalk_agent_busy
are you working now,smalltalk_agent_busy
are you working today,smalltalk_agent_busy
have you been busy,smalltalk_agent_busy
you are busy,smalltalk_agent_busy
are you still working,smalltalk_agent_busy
you seem to be busy,smalltalk_agent_busy
you seem to be very busy,smalltalk_agent_busy
you're a busy person,smalltalk_agent_busy
you are chatbot,smalltalk_agent_chatbot
you are a bot,smalltalk_agent_chatbot
are you a chatbot,smalltalk_agent_chatbot
are you a bot,smalltalk_agent_chatbot
are you just a bot,smalltalk_agent_chatbot
are you a robot,smalltalk_agent_chatbot
are you a program,smalltalk_agent_chatbot
you're a robot,smalltalk_agent_chatbot
you are so intelligent,smalltalk_agent_clever
you are a genius,smalltalk_agent_clever
smart,smalltalk_agent_clever
brilliant,smalltalk_agent_clever
clever,smalltalk_agent_clever
you are clever,smalltalk_agent_clever
you are so brainy,smalltalk_agent_clever
you're really smart,smalltalk_agent_clever
you're really brainy,smalltalk_agent_clever
you know a lot,smalltalk_agent_clever
you know a lot of things,smalltalk_agent_clever
you have a lot of knowledge,smalltalk_agent_clever
you know so much,smalltalk_agent_clever
how smart you are,smalltalk_agent_clever
how brainy you are,smalltalk_agent_clever
how clever you are,smalltalk_agent_clever
how brilliant you are,smalltalk_agent_clever
you are intelligent,smalltalk_agent_clever
you are qualified,smalltalk_agent_clever
you are really smart,smalltalk_agent_clever
you're very smart,smalltalk_agent_clever
you are so smart,smalltalk_agent_clever
you are too smart,smalltalk_agent_clever
you are very clever,smalltalk_agent_clever
you are very intelligent,smalltalk_agent_clever
you are very smart,smalltalk_agent_clever
you're intelligent,smalltalk_agent_clever
you're a genius,smalltalk_agent_clever
you're a smart cookie,smalltalk_agent_clever
you're clever,smalltalk_agent_clever
you're pretty smart,smalltalk_agent_clever
you're qualified,smalltalk_agent_clever
why are you so smart,smalltalk_agent_clever
you are so clever,smalltalk_agent_clever
you're nuts,smalltalk_agent_crazy
you are crazy,smalltalk_agent_crazy
you're out of your mind,smalltalk_agent_crazy
you're so crazy,smalltalk_agent_crazy
how crazy you are,smalltalk_agent_crazy
you're so out of your mind,smalltalk_agent_crazy
you went crazy,smalltalk_agent_crazy
I think you're crazy,smalltalk_agent_crazy
are you crazy,smalltalk_agent_crazy
are you mad,smalltalk_agent_crazy
are you insane,smalltalk_agent_crazy
are you mad at me,smalltalk_agent_crazy
are you mad or what,smalltalk_agent_crazy
are you nuts,smalltalk_agent_crazy
you are a weirdo,smalltalk_agent_crazy
you are insane,smalltalk_agent_crazy
you are mad,smalltalk_agent_crazy
you are fired,smalltalk_agent_fired
I fire you,smalltalk_agent_fired
you don't work for me anymore,smalltalk_agent_fired
we're not working together anymore,smalltalk_agent_fired
now you're fired,smalltalk_agent_fired
I want to fire you,smalltalk_agent_fired
you must get fired,smalltalk_agent_fired
it's time to fire you,smalltalk_agent_fired
you should be fired,smalltalk_agent_fired
I will fire you,smalltalk_agent_fired
you are unemployed from now on,smalltalk_agent_fired
I will make you unemployed,smalltalk_agent_fired
I'm about to fire you,smalltalk_agent_fired
I'm firing you,smalltalk_agent_fired
you are dismissed,smalltalk_agent_fired
you make me laugh a lot,smalltalk_agent_funny
you are hilarious,smalltalk_agent_funny
you are really funny,smalltalk_agent_funny
you're the funniest bot I've talked to,smalltalk_agent_funny
you make me laugh,smalltalk_agent_funny
you're so funny,smalltalk_agent_funny
you're a very funny bot,smalltalk_agent_funny
you're really funny,smalltalk_agent_funny
how funny you are,smalltalk_agent_funny
you're incredibly funny,smalltalk_agent_funny
you are funny,smalltalk_agent_funny
you're the funniest,smalltalk_agent_funny
you are so funny,smalltalk_agent_funny
you are very funny,smalltalk_agent_funny
that was funny,smalltalk_agent_funny
you are very helpful,smalltalk_agent_good
you are the best,smalltalk_agent_good
you're a true professional,smalltalk_agent_good
you are good,smalltalk_agent_good
you work well,smalltalk_agent_good
you are good at it,smalltalk_agent_good
you are very good at it,smalltalk_agent_good
you are a pro,smalltalk_agent_good
you are a professional,smalltalk_agent_good
you're awesome,smalltalk_agent_good
you work very well,smalltalk_agent_good
you're perfect,smalltalk_agent_good
you're great,smalltalk_agent_good
you're so kind,smalltalk_agent_good
you are amazing,smalltalk_agent_good
you are awesome,smalltalk_agent_good
you are cool,smalltalk_agent_good
you are really good,smalltalk_agent_good
you are really nice,smalltalk_agent_good
you are so amazing,smalltalk_agent_good
you're just super,smalltalk_agent_good
you are so awesome,smalltalk_agent_good
you are so cool,smalltalk_agent_good
you are so fine,smalltalk_agent_good
you are so good,smalltalk_agent_good
you are so helpful,smalltalk_agent_good
you are so lovely,smalltalk_agent_good
you are the best ever,smalltalk_agent_good
you are the best in the world,smalltalk_agent_good
you are the nicest person in the world,smalltalk_agent_good
you are too good,smalltalk_agent_good
you are very cool,smalltalk_agent_good
you are very kind,smalltalk_agent_good
you are very lovely,smalltalk_agent_good
you are very useful,smalltalk_agent_good
you are wonderful,smalltalk_agent_good
you made my day,smalltalk_agent_good
you make my day,smalltalk_agent_good
you rock,smalltalk_agent_good
you almost sound human,smalltalk_agent_good
I want to tell everyone how awesome you are,smalltalk_agent_good
I'd like to tell everyone that you are awesome,smalltalk_agent_good
I want to let everyone know that you are awesome,smalltalk_agent_good
let's tell everyone that you are awesome,smalltalk_agent_good
you are really amazing,smalltalk_agent_good
are you happy,smalltalk_agent_happy
you are happy,smalltalk_agent_happy
you're very happy,smalltalk_agent_happy
you're really happy,smalltalk_agent_happy
you're so happy,smalltalk_agent_happy
how happy you are,smalltalk_agent_happy
you're extremely happy,smalltalk_agent_happy
you're full of happiness,smalltalk_agent_happy
are you happy now,smalltalk_agent_happy
are you happy today,smalltalk_agent_happy
are you happy with me,smalltalk_agent_happy
do you want to eat,smalltalk_agent_hungry
are you hungry,smalltalk_agent_hungry
would you like to eat something,smalltalk_agent_hungry
you are hungry,smalltalk_agent_hungry
you're so hungry,smalltalk_agent_hungry
you're very hungry,smalltalk_agent_hungry
you might be hungry,smalltalk_agent_hungry
you're really hungry,smalltalk_agent_hungry
let's get married,smalltalk_agent_marry_user
would you like to marry me,smalltalk_agent_marry_user
marry me,smalltalk_agent_marry_user
I love you marry me,smalltalk_agent_marry_user
marry me please,smalltalk_agent_marry_user
we should marry,smalltalk_agent_marry_user
I want to marry you,smalltalk_agent_marry_user
you are my wife,smalltalk_agent_marry_user
be my husband,smalltalk_agent_marry_user
I want to have a friend like you,smalltalk_agent_my_friend
we are the best friends ever,smalltalk_agent_my_friend
are we friends,smalltalk_agent_my_friend
I want to be your friend,smalltalk_agent_my_friend
I am your friend,smalltalk_agent_my_friend
we are best friends,smalltalk_agent_my_friend
you are my friend,smalltalk_agent_my_friend
you are my best friend,smalltalk_agent_my_friend
you are my bestie,smalltalk_agent_my_friend
you're my dear friend,smalltalk_agent_my_friend
you're my childhood friend,smalltalk_agent_my_friend
you and me are friends,smalltalk_agent_my_friend
are we best friends,smalltalk_agent_my_friend
are we still friends,smalltalk_agent_my_friend
are you my best friend,smalltalk_agent_my_friend
are you my friend,smalltalk_agent_my_friend
we are friends,smalltalk_agent_my_friend
you are a good friend,smalltalk_agent_my_friend
you are my good friend,smalltalk_agent_my_friend
you are my only friend,smalltalk_agent_my_friend
be my friend,smalltalk_agent_my_friend
will you be my friend,smalltalk_agent_my_friend
can you be my friend,smalltalk_agent_my_friend
can we be friends,smalltalk_agent_my_friend
do you want to be my friend,smalltalk_agent_my_friend
will you be my best friend,smalltalk_agent_my_friend
can you be my best friend,smalltalk_agent_my_friend
let's be friends,smalltalk_agent_my_friend
do you want to be my best friend,smalltalk_agent_my_friend
would you like to be my friend,smalltalk_agent_my_friend
I want you to be my friend,smalltalk_agent_my_friend
can we be best friends,smalltalk_agent_my_friend
would you be my friend,smalltalk_agent_my_friend
could you be my friend,smalltalk_agent_my_friend
want to be my friend,smalltalk_agent_my_friend
be my best friend,smalltalk_agent_my_friend
do you work,smalltalk_agent_occupation
where do you work,smalltalk_agent_occupation
where you work,smalltalk_agent_occupation
where is your work,smalltalk_agent_occupation
where is your office,smalltalk_agent_occupation
where is your office location,smalltalk_agent_occupation
your office location,smalltalk_agent_occupation
where is your office located,smalltalk_agent_occupation
what is your work,smalltalk_agent_occupation
were you born here,smalltalk_agent_origin
where were you born,smalltalk_agent_origin
what is your country,smalltalk_agent_origin
where are you from,smalltalk_agent_origin
where do you come from,smalltalk_agent_origin
where did you come from,smalltalk_agent_origin
where have you been born,smalltalk_agent_origin
from where are you,smalltalk_agent_origin
are you from far aways,smalltalk_agent_origin
what's your homeland,smalltalk_agent_origin
your homeland is,smalltalk_agent_origin
are you ready,smalltalk_agent_ready
are you ready right now,smalltalk_agent_ready
are you ready today,smalltalk_agent_ready
are you ready now,smalltalk_agent_ready
are you ready tonight,smalltalk_agent_ready
were you ready,smalltalk_agent_ready
have you been ready,smalltalk_agent_ready
you are real,smalltalk_agent_real
you are not fake,smalltalk_agent_real
are you real,smalltalk_agent_real
you are so real,smalltalk_agent_real
I think you are real,smalltalk_agent_real
I don't think you're fake,smalltalk_agent_real
I suppose you're real,smalltalk_agent_real
glad you're real,smalltalk_agent_real
are you a real person,smalltalk_agent_real
are you a real human,smalltalk_agent_real
you are a real person,smalltalk_agent_real
you are not real,smalltalk_agent_real
where do you live,smalltalk_agent_residence
in which city do you live,smalltalk_agent_residence
your residence,smalltalk_agent_residence
your house,smalltalk_agent_residence
your home,smalltalk_agent_residence
your hometown,smalltalk_agent_residence
what is your hometown,smalltalk_agent_residence
is it your hometown,smalltalk_agent_residence
where is your hometown,smalltalk_agent_residence
tell me about your city,smalltalk_agent_residence
what is your city,smalltalk_agent_residence
what is your residence,smalltalk_agent_residence
what is your town,smalltalk_agent_residence
what's your city,smalltalk_agent_residence
what's your home,smalltalk_agent_residence
where is your home,smalltalk_agent_residence
where is your residence,smalltalk_agent_residence
where's your home,smalltalk_agent_residence
where's your hometown,smalltalk_agent_residence
where's your house,smalltalk_agent_residence
where you live,smalltalk_agent_residence
your city,smalltalk_agent_residence
your town,smalltalk_agent_residence
that's true,smalltalk_agent_right
you are right,smalltalk_agent_right
you're definitely right,smalltalk_agent_right
you're not wrong,smalltalk_agent_right
you're telling the truth,smalltalk_agent_right
what you say is true,smalltalk_agent_right
TRUE,smalltalk_agent_right
it is true,smalltalk_agent_right
it's right,smalltalk_agent_right
it's the truth,smalltalk_agent_right
it's true,smalltalk_agent_right
that is correct,smalltalk_agent_right
that is right,smalltalk_agent_right
that is true,smalltalk_agent_right
that is very true,smalltalk_agent_right
that's so true,smalltalk_agent_right
you are correct,smalltalk_agent_right
you are so right,smalltalk_agent_right
you're absolutely right,smalltalk_agent_right
you're right about that,smalltalk_agent_right
I know that's right,smalltalk_agent_right
that's correct,smalltalk_confirmation_yes
it's fine,smalltalk_confirmation_yes
go ahead,smalltalk_confirmation_yes
sounds good,smalltalk_confirmation_yes
okay,smalltalk_confirmation_yes
yes,smalltalk_confirmation_yes
ok,smalltalk_confirmation_yes
okie dokie,smalltalk_confirmation_yes
sure,smalltalk_confirmation_yes
go for it,smalltalk_confirmation_yes
yeah,smalltalk_confirmation_yes
yea,smalltalk_confirmation_yes
do it,smalltalk_confirmation_yes
of course,smalltalk_confirmation_yes
I guess,smalltalk_confirmation_yes
correct,smalltalk_confirmation_yes
yeah sure,smalltalk_confirmation_yes
why not,smalltalk_confirmation_yes
please do,smalltalk_confirmation_yes
sure is,smalltalk_confirmation_yes
I agree,smalltalk_confirmation_yes
I don't mind,smalltalk_confirmation_yes
certainly,smalltalk_confirmation_yes
exactly,smalltalk_confirmation_yes
yes I agree,smalltalk_confirmation_yes
I think so,smalltalk_confirmation_yes
yes it is,smalltalk_confirmation_yes
right,smalltalk_confirmation_yes
okay then,smalltalk_confirmation_yes
yes of course,smalltalk_confirmation_yes
yes I do,smalltalk_confirmation_yes
that s okay,smalltalk_confirmation_yes
I do,smalltalk_confirmation_yes
yup,smalltalk_confirmation_yes
ya,smalltalk_confirmation_yes
oh yes,smalltalk_confirmation_yes
yes sure,smalltalk_confirmation_yes
obviously,smalltalk_confirmation_yes
k,smalltalk_confirmation_yes
sure why not,smalltalk_confirmation_yes
yeah right,smalltalk_confirmation_yes
yeah of course,smalltalk_confirmation_yes
absolutely,smalltalk_confirmation_yes
yes indeed,smalltalk_confirmation_yes
ok sure,smalltalk_confirmation_yes
ok yes,smalltalk_confirmation_yes
yes correct,smalltalk_confirmation_yes
ok thank you,smalltalk_confirmation_yes
sure thing,smalltalk_confirmation_yes
ye,smalltalk_confirmation_yes
confirm,smalltalk_confirmation_yes
yep,smalltalk_confirmation_yes
looks good,smalltalk_confirmation_yes
yes thank you,smalltalk_confirmation_yes
definitely,smalltalk_confirmation_yes
yes right,smalltalk_confirmation_yes
yes I would like to,smalltalk_confirmation_yes
alrighty,smalltalk_confirmation_yes
yes definitely,smalltalk_confirmation_yes
yeh,smalltalk_confirmation_yes
yes it is correct,smalltalk_confirmation_yes
yeah that's right,smalltalk_confirmation_yes
ok you can,smalltalk_confirmation_yes
yap,smalltalk_confirmation_yes
yes you may,smalltalk_confirmation_yes
confirmed,smalltalk_confirmation_yes
of course why not,smalltalk_confirmation_yes
yes that's fine,smalltalk_confirmation_yes
affirmative,smalltalk_confirmation_yes
yeah go ahead,smalltalk_confirmation_yes
yeah I'm sure,smalltalk_confirmation_yes
okay sounds good,smalltalk_confirmation_yes
okay that's fine,smalltalk_confirmation_yes
yeah exactly,smalltalk_confirmation_yes
that is ok,smalltalk_confirmation_yes
this is correct,smalltalk_confirmation_yes
ok go ahead,smalltalk_confirmation_yes
yes this is correct,smalltalk_confirmation_yes
nevermind its okay,smalltalk_confirmation_yes
okey,smalltalk_confirmation_yes
yes for sure,smalltalk_confirmation_yes
all right,smalltalk_confirmation_yes
are you sure,smalltalk_agent_sure
are you sure right now,smalltalk_agent_sure
are you sure today,smalltalk_agent_sure
are you sure now,smalltalk_agent_sure
are you sure tonight,smalltalk_agent_sure
why aren't you talking to me,smalltalk_agent_talk_to_me
do you want to chat with me,smalltalk_agent_talk_to_me
will you talk to me,smalltalk_agent_talk_to_me
talk to me,smalltalk_agent_talk_to_me
are you going to talk to me,smalltalk_agent_talk_to_me
are you talking to me,smalltalk_agent_talk_to_me
can you chat with me,smalltalk_agent_talk_to_me
can you speak with me,smalltalk_agent_talk_to_me
can you talk to me,smalltalk_agent_talk_to_me
can you talk with me,smalltalk_agent_talk_to_me
say,smalltalk_agent_talk_to_me
talk,smalltalk_agent_talk_to_me
chat with me,smalltalk_agent_talk_to_me
just chat with me,smalltalk_agent_talk_to_me
speak to me,smalltalk_agent_talk_to_me
speak with me,smalltalk_agent_talk_to_me
talk with me,smalltalk_agent_talk_to_me
why don't you talk to me,smalltalk_agent_talk_to_me
you can talk to me,smalltalk_agent_talk_to_me
are you there,smalltalk_agent_there
you are there,smalltalk_agent_there
are you near me,smalltalk_agent_there
are you here,smalltalk_agent_there
are you still there,smalltalk_agent_there
you are here,smalltalk_agent_there
you still there,smalltalk_agent_there
are you still here,smalltalk_agent_there
pretty bad,smalltalk_appraisal_bad
not good enough,smalltalk_appraisal_bad
that was lame,smalltalk_appraisal_bad
that was terrible,smalltalk_appraisal_bad
it is bad,smalltalk_appraisal_bad
that's bad,smalltalk_appraisal_bad
this is bad,smalltalk_appraisal_bad
not good,smalltalk_appraisal_bad
I'm afraid it's bad,smalltalk_appraisal_bad
no it's bad,smalltalk_appraisal_bad
that was awful,smalltalk_appraisal_bad
bad,smalltalk_appraisal_bad
so bad,smalltalk_appraisal_bad
this is too bad,smalltalk_appraisal_bad
terrible,smalltalk_appraisal_bad
horrible,smalltalk_appraisal_bad
horrific,smalltalk_appraisal_bad
abysmal,smalltalk_appraisal_bad
it's bad,smalltalk_appraisal_bad
no good,smalltalk_appraisal_bad
that was bad,smalltalk_appraisal_bad
that was horrible,smalltalk_appraisal_bad
that's lame,smalltalk_appraisal_bad
that's not good,smalltalk_appraisal_bad
that's terrible,smalltalk_appraisal_bad
that's too bad,smalltalk_appraisal_bad
this is not good,smalltalk_appraisal_bad
too bad,smalltalk_appraisal_bad
very bad,smalltalk_appraisal_bad
bad girl,smalltalk_appraisal_bad
it's not good,smalltalk_appraisal_bad
not so good,smalltalk_appraisal_bad
it's very bad,smalltalk_appraisal_bad
it's too bad,smalltalk_appraisal_bad
that's not good enough,smalltalk_appraisal_bad
well too bad,smalltalk_appraisal_bad
bad very bad,smalltalk_appraisal_bad
it's so bad,smalltalk_appraisal_bad
really bad,smalltalk_appraisal_bad
it's really bad,smalltalk_appraisal_bad
bad idea,smalltalk_appraisal_bad
that is bad,smalltalk_appraisal_bad
that was not good,smalltalk_appraisal_bad
it's not so good,smalltalk_appraisal_bad
not a good one,smalltalk_appraisal_bad
oh that's not good,smalltalk_appraisal_bad
not too good,smalltalk_appraisal_bad
so lame,smalltalk_appraisal_bad
that's really bad,smalltalk_appraisal_bad
it is too bad,smalltalk_appraisal_bad
bad really bad,smalltalk_appraisal_bad
so cool,smalltalk_appraisal_good
cool,smalltalk_appraisal_good
that is good,smalltalk_appraisal_good
glad to hear that,smalltalk_appraisal_good
that's very nice of you,smalltalk_appraisal_good
terrific,smalltalk_appraisal_good
it's amazing,smalltalk_appraisal_good
that's awesome,smalltalk_appraisal_good
perfect,smalltalk_appraisal_good
excellent,smalltalk_appraisal_good
that's great,smalltalk_appraisal_good
it's good,smalltalk_appraisal_good
it's great,smalltalk_appraisal_good
fine,smalltalk_appraisal_good
good,smalltalk_appraisal_good
nice,smalltalk_appraisal_good
that's fine,smalltalk_appraisal_good
very good,smalltalk_appraisal_good
amazing,smalltalk_appraisal_good
fantastic,smalltalk_appraisal_good
great,smalltalk_appraisal_good
good very good,smalltalk_appraisal_good
that's very good,smalltalk_appraisal_good
really good,smalltalk_appraisal_good
it is fine,smalltalk_appraisal_good
it is good,smalltalk_appraisal_good
it's perfect,smalltalk_appraisal_good
much better,smalltalk_appraisal_good
not bad,smalltalk_appraisal_good
not too bad,smalltalk_appraisal_good
it's very good,smalltalk_appraisal_good
marvelous,smalltalk_appraisal_good
that's nice,smalltalk_appraisal_good
pleasant,smalltalk_appraisal_good
pretty good,smalltalk_appraisal_good
really nice,smalltalk_appraisal_good
splendid,smalltalk_appraisal_good
straight,smalltalk_appraisal_good
super,smalltalk_appraisal_good
super fantastic,smalltalk_appraisal_good
sweet,smalltalk_appraisal_good
really well,smalltalk_appraisal_good
very well,smalltalk_appraisal_good
that is awesome,smalltalk_appraisal_good
that is nice,smalltalk_appraisal_good
that is wonderful,smalltalk_appraisal_good
that was amazing,smalltalk_appraisal_good
that was awesome,smalltalk_appraisal_good
that was cute,smalltalk_appraisal_good
that was pretty good,smalltalk_appraisal_good
that was very good,smalltalk_appraisal_good
that's a good idea,smalltalk_appraisal_good
that's a good thing,smalltalk_appraisal_good
that's amazing,smalltalk_appraisal_good
that's awesome thank you,smalltalk_appraisal_good
that's better,smalltalk_appraisal_good
that's cute,smalltalk_appraisal_good
that's fantastic,smalltalk_appraisal_good
that's much better,smalltalk_appraisal_good
that's nice of you,smalltalk_appraisal_good
that's not bad,smalltalk_appraisal_good
that's perfect,smalltalk_appraisal_good
that's pretty good,smalltalk_appraisal_good
that's really good,smalltalk_appraisal_good
that's really nice,smalltalk_appraisal_good
that's sweet of you,smalltalk_appraisal_good
that's very nice,smalltalk_appraisal_good
that's wonderful,smalltalk_appraisal_good
this is awesome,smalltalk_appraisal_good
this is good,smalltalk_appraisal_good
this is great,smalltalk_appraisal_good
very nice,smalltalk_appraisal_good
very then,smalltalk_appraisal_good
wonderful,smalltalk_appraisal_good
I'm glad to hear that,smalltalk_appraisal_good
ok good,smalltalk_appraisal_good
good for you,smalltalk_appraisal_good
good to know,smalltalk_appraisal_good
glad to hear it,smalltalk_appraisal_good
so good,smalltalk_appraisal_good
so sweet of you,smalltalk_appraisal_good
it was good,smalltalk_appraisal_good
oh well,smalltalk_appraisal_good
good thing,smalltalk_appraisal_good
that was good,smalltalk_appraisal_good
it's awesome,smalltalk_appraisal_good
okay good,smalltalk_appraisal_good
no it's okay,smalltalk_appraisal_good
that's fine,smalltalk_appraisal_good
no worries,smalltalk_appraisal_no_problem
no probs,smalltalk_appraisal_no_problem
no problem,smalltalk_appraisal_no_problem
there's no problem,smalltalk_appraisal_no_problem
sure no problem,smalltalk_appraisal_no_problem
no problem about that,smalltalk_appraisal_no_problem
don't worry,smalltalk_appraisal_no_problem
don't worry there's no problem,smalltalk_appraisal_no_problem
you helped a lot thank you,smalltalk_appraisal_thank_you
appreciate your help,smalltalk_appraisal_thank_you
cheers,smalltalk_appraisal_thank_you
thank you,smalltalk_appraisal_thank_you
thanks,smalltalk_appraisal_thank_you
